County Name,"One-Unit
Limit","Two-Unit
Limit","Three-Unit
Limit","Four-Unit
Limit"
KOSSUTH COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
LEE COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
LINN COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
LOUISA COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
LUCAS COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
LYON COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
MADISON COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
MAHASKA COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
MARION COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
MARSHALL COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
MILLS COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
MITCHELL COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
MONONA COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
MONROE COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
MONTGOMERY COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
MUSCATINE COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
O'BRIEN COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
OSCEOLA COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
PAGE COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
PALO ALTO COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
PLYMOUTH COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
POCAHONTAS COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
POLK COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
POTTAWATTAMIE COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
POWESHIEK COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
RINGGOLD COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
SAC COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
SCOTT COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
SHELBY COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
SIOUX COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
STORY COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
TAMA COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
TAYLOR COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
UNION COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
VAN BUREN COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
WAPELLO COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
WARREN COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
WASHINGTON COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
WAYNE COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
WEBSTER COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
WINNEBAGO COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
WINNESHIEK COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
WOODBURY COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
WORTH COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
WRIGHT COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
ALLEN COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
ANDERSON COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
ATCHISON COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
BARBER COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
BARTON COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
BOURBON COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
BROWN COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
BUTLER COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
CHASE COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
CHAUTAUQUA COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
CHEROKEE COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
CHEYENNE COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
CLARK COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
CLAY COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
CLOUD COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
COFFEY COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
COMANCHE COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
COWLEY COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
CRAWFORD COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
DECATUR COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
DICKINSON COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
DONIPHAN COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
DOUGLAS COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
EDWARDS COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
ELK COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
ELLIS COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
ELLSWORTH COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
FINNEY COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
FORD COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
FRANKLIN COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
GEARY COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
GOVE COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
GRAHAM COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
GRANT COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
GRAY COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
GREELEY COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
GREENWOOD COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
HAMILTON COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
HARPER COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
HARVEY COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
HASKELL COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
HODGEMAN COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
JACKSON COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
JEFFERSON COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
JEWELL COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
JOHNSON COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
KEARNY COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
KINGMAN COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
KIOWA COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
LABETTE COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
LANE COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
LEAVENWORTH COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
LINCOLN COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
LINN COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
LOGAN COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
LYON COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
MCPHERSON COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
MARION COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
MARSHALL COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
MEADE COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
MIAMI COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
MITCHELL COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
MONTGOMERY COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
MORRIS COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
MORTON COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
NEMAHA COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
NEOSHO COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
NESS COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
NORTON COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
OSAGE COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
OSBORNE COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
OTTAWA COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
PAWNEE COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
PHILLIPS COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
POTTAWATOMIE COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
PRATT COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
RAWLINS COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
RENO COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
REPUBLIC COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
RICE COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
RILEY COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
ROOKS COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
RUSH COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
RUSSELL COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
SALINE COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
SCOTT COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
SEDGWICK COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
SEWARD COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
SHAWNEE COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
SHERIDAN COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
SHERMAN COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
SMITH COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
STAFFORD COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
STANTON COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
STEVENS COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
SUMNER COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
THOMAS COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
TREGO COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
WABAUNSEE COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
WALLACE COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
WASHINGTON COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
WICHITA COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
WILSON COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
WOODSON COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
WYANDOTTE COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
ADAIR COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
ALLEN COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
ANDERSON COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
BALLARD COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
BARREN COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
BATH COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
BELL COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
BOONE COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
BOURBON COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
BOYD COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
BOYLE COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
BRACKEN COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
BREATHITT COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
BRECKINRIDGE COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
BULLITT COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
BUTLER COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
CALDWELL COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
CALLOWAY COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
CAMPBELL COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
CARLISLE COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
CARROLL COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
CARTER COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
CASEY COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
CHRISTIAN COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
CLARK COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
CLAY COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
CLINTON COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
CRITTENDEN COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
CUMBERLAND COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
DAVIESS COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
EDMONSON COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
ELLIOTT COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
ESTILL COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
FAYETTE COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
FLEMING COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
FLOYD COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
FRANKLIN COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
FULTON COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
GALLATIN COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
GARRARD COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
GRANT COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
GRAVES COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
GRAYSON COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
GREEN COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
GREENUP COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
HANCOCK COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
HARDIN COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
HARLAN COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
HARRISON COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
HART COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
HENDERSON COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
HENRY COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
HICKMAN COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
HOPKINS COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
JACKSON COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
JEFFERSON COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
JESSAMINE COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
JOHNSON COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
KENTON COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
KNOTT COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
KNOX COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
LARUE COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
LAUREL COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
LAWRENCE COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
LEE COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
LESLIE COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
LETCHER COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
LEWIS COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
LINCOLN COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
LIVINGSTON COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
LOGAN COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
LYON COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
MCCRACKEN COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
MCCREARY COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
MCLEAN COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
MADISON COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
MAGOFFIN COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
MARION COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
MARSHALL COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
MARTIN COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
MASON COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
MEADE COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
MENIFEE COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
MERCER COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
METCALFE COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
MONROE COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
MONTGOMERY COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
MORGAN COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
MUHLENBERG COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
NELSON COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
NICHOLAS COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
OHIO COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
OLDHAM COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
OWEN COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
OWSLEY COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
PENDLETON COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
PERRY COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
PIKE COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
POWELL COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
PULASKI COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
ROBERTSON COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
ROCKCASTLE COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
ROWAN COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
RUSSELL COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
SCOTT COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
SHELBY COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
SIMPSON COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
SPENCER COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
TAYLOR COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
TODD COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
TRIGG COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
TRIMBLE COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
UNION COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
WARREN COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
WASHINGTON COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
WAYNE COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
WEBSTER COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
WHITLEY COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
WOLFE COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
WOODFORD COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
ACADIA PARISH,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
ALLEN PARISH,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
ASCENSION PARISH,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
ASSUMPTION PARISH,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
AVOYELLES PARISH,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
BEAUREGARD PARISH,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
BIENVILLE PARISH,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
BOSSIER PARISH,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
CADDO PARISH,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
CALCASIEU PARISH,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
CALDWELL PARISH,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
CAMERON PARISH,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
CATAHOULA PARISH,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
CLAIBORNE PARISH,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
CONCORDIA PARISH,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
DE SOTO PARISH,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
EAST BATON ROUGE PARISH,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
EAST CARROLL PARISH,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
EAST FELICIANA PARISH,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
EVANGELINE PARISH,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
FRANKLIN PARISH,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
GRANT PARISH,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
IBERIA PARISH,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
IBERVILLE PARISH,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
JACKSON PARISH,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
JEFFERSON PARISH,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
JEFFERSON DAVIS PARISH,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
LAFAYETTE PARISH,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
LAFOURCHE PARISH,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
LA SALLE PARISH,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
LINCOLN PARISH,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
LIVINGSTON PARISH,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
MADISON PARISH,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
MOREHOUSE PARISH,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
NATCHITOCHES PARISH,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
ORLEANS PARISH,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
OUACHITA PARISH,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
PLAQUEMINES PARISH,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
POINTE COUPEE PARISH,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
RAPIDES PARISH,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
RED RIVER PARISH,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
RICHLAND PARISH,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
SABINE PARISH,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
